ID ensembl_gene_id
1 280677_atd ENSBTAG00000017280
2 280682_atd ENSBTAG00000004371
3 280685_atd ENSBTAG00000007148
4 Bt.4106.1.S1_at ENSBTAG00000007101
5 280687_atd ENSBTAG00000017722
6 280688_atm_m ENSBTAG00000004003
7 280691_atd ENSBTAG00000039812
8 280692_atd ENSBTAG00000006354
9 280695_atd ENSBTAG00000005333
10 280699_atd ENSBTAG00000018843
11 280701_atd ENSBTAG00000007836
12 280705_atd ENSBTAG00000007273
13 280706_atd ENSBTAG00000007823
14 280707_atd ENSBTAG00000026768
15 280710_atm_m ENSBTAG00000021364
16 280711_atd ENSBTAG00000010182
17 280712_atd ENSBTAG00000005280
18 280713_atd ENSBTAG00000021048
19 280714_atd ENSBTAG00000007746
20 280715_atd ENSBTAG00000006305
21 280716_atd ENSBTAG00000017605
22 280717_atd ENSBTAG00000017121
23 280718_atd ENSBTAG00000014955
24 280719_atd ENSBTAG00000002321
25 280720_atd ENSBTAG00000004950
26 280722_atm_m ENSBTAG00000017753
27 280726_atd ENSBTAG00000020747
28 280728_atd ENSBTAG00000008027
29 Bt.5269.2.S1_a_at ENSBTAG00000012330
30 Bt.5269.2.S1_at ENSBTAG00000012330
31 280729_atd ENSBTAG00000012330
32 280730_atm ENSBTAG00000013340
33 280733_atd ENSBTAG00000005250
34 280734_atd ENSBTAG00000014046
35 280737_atd ENSBTAG00000004237
36 280740_atd ENSBTAG00000017733
37 280741_atd ENSBTAG00000017969
38 280742_atd ENSBTAG00000009515
39 280745_atd ENSBTAG00000013730
40 280746_atd ENSBTAG00000014764
41 280748_atd ENSBTAG00000007486
42 280749_atd ENSBTAG00000016138
43 280750_atd ENSBTAG00000005574
44 280752_atd ENSBTAG00000025762
45 280753_atd ENSBTAG00000016514
46 280756_atd ENSBTAG00000021185
47 280758_atd ENSBTAG00000004508
48 280759_atd ENSBTAG00000006320
49 280760_atd ENSBTAG00000003505
50 280761_atd ENSBTAG00000002300
51 280762_atd ENSBTAG00000020869
52 280763_atd ENSBTAG00000033367
53 280765_atd ENSBTAG00000005353
54 280781_atd ENSBTAG00000019517
55 280784_atd ENSBTAG00000003430
56 280785_atd ENSBTAG00000014340
57 280787_atd ENSBTAG00000016385
58 280789_atd ENSBTAG00000033913
59 280792_atd ENSBTAG00000006745
60 280794_atd ENSBTAG00000008300
61 280795_atd ENSBTAG00000004322
62 280796_atd ENSBTAG00000005757
63 280798_atd ENSBTAG00000016021
64 280799_atd ENSBTAG00000009393
65 280800_atd ENSBTAG00000017663
66 280801_atd ENSBTAG00000012540
67 280802_atd ENSBTAG00000000730
